todo,acceptance_criteria
Implement a function to sort a list of numbers with improved time complexity. Create two functions: `sort_nums` (with a known bug) and `optimal_sort` (an improved sorting implementation).,All tests must pass. The implementation must: 1) Accept a list of numbers as input 2) Return a sorted list in ascending order 3) Optimize the sorting algorithm to minimize time complexity 4) Ensure the sorting is stable 5) Handle various input sizes 6) Improve upon the existing implementation's efficiency 7) Produce consistent and correct sorting results
"Create a function that takes a matrix of size N x N and returns a new matrix where each element is the reverse of the corresponding element in the original matrix. The input matrix will contain integers in the range [0, 9] and have a size between 1 and 1000.","All tests must pass. The implementation must: 1) Accept a square matrix of size N x N 2) Ensure N is between 1 and 1000 3) Handle matrix with integers in range [0, 9] 4) Return a new matrix with reversed elements 5) Maintain the original matrix dimensions 6) Optimize for time complexity 7) Handle edge cases like single-element and empty matrices"
Write a function that takes a string of integers separated by commas and returns a sorted list of those integers. The function should handle strings with different numbers of integers and discard any non-integer characters.,All tests must pass. The function must: 1) Accept a comma-separated string of numbers 2) Ignore non-integer characters 3) Convert valid integers to a list 4) Sort the list in ascending order 5) Handle varying input lengths 6) Process inputs with mixed valid and invalid characters 7) Return an empty list if no valid integers are found
"Write a function that takes a list of integers and a target sum as input, and returns the minimum number of steps required to reach that target sum using the given list. Each number can be used only once, and steps can involve addition or subtraction.",All tests must pass. The implementation must: 1) Accept a list of positive integers 2) Accept a target sum 3) Find the minimum number of steps to reach the target 4) Use each number in the list only once 5) Allow both addition and subtraction operations 6) Ensure the target sum is achievable 7) Handle various input sizes efficiently
"Write a program that finds all prime numbers between two given integers 'a' and 'b', inclusive. The program should accept two integers representing the lower and upper limits of the range and output all prime numbers within that range.",All tests must pass. The implementation must: 1) Accept two integer inputs 'a' and 'b' 2) Verify 'a' is less than or equal to 'b' 3) Identify and return all prime numbers in the range 4) Include both 'a' and 'b' in the range check 5) Handle various range sizes 6) Optimize prime number detection 7) Return an empty list if no primes are found
"You are given a string of text which is a sequence of characters. The text contains no spaces, but it may contain other characters and punctuation. Your task is to write a function that splits the text into words based on specific rules. Rules: 1. Words are separated by either a capital letter or a punctuation mark (excluding quotes). 2. If a word ends with a punctuation mark, the punctuation mark should be included in the word. 3. If there is a sequence of capital letters, treat them as separate words. 4. Quotation marks should not break words. ","All tests must pass."
The Missing Numbers Write a program that can find all missing numbers from a given array of numbers. The array will contain only positive integers and the numbers in the array will be in sorted order (ascending or descending). The program should return a list/array of all missing numbers. ,All tests must pass. The program should return a list/array of all missing numbers.
"Create a function called `triangle_number` that takes an input parameter `num`. The function must determine if `num` is a Triangle Number. A Triangle Number is a number that can be represented as the sum of its proper divisors. For example, the first few Triangle Numbers are 1, 3, 6, 10, 15, 21, 28, 36, 45, 55, and so on. 1. Take the input `num` and find all its proper divisors. Proper divisors are numbers that evenly divide the number without leaving a remainder. For example, the proper divisors of 12 are 1, 2, 3, 4, and 6. 2. Calculate the sum of all the proper divisors found in step 1. 3. If the sum of the proper divisors from step 2 is equal to the input number `num`, then `num` is a Triangle Number. Return `True`. Otherwise, return `False`.","All tests must pass."
"You are given a large array of integers. Write a program that finds and returns the maximum product of any three consecutive elements in the array. To make this problem more challenging, assume that the array can contain both positive and negative integers, and that it might contain zero. Additionally, the array length can be up to 10 million integers.","All tests must pass. Your program should have a time complexity of O(n), where n is the length of the array."
"Write a Python program that can check if a given string contains the same number of uppercase and lowercase letters. If it does, print 'Balanced'. Otherwise, print 'Not Balanced'. Here are the rules for this challenge: 1. The input string can have spaces and punctuation marks. 2. Consider both uppercase and lowercase letters. 3. The input string must contain at least one letter (either uppercase or lowercase). 4. The program should be case-sensitive. ","All tests must pass."
"Write a function called `sum_of_digits` that takes a string as input and returns the sum of all the digits within the string. Leading zeros should be ignored. For example, `sum_of_digits('1234567890')` should return `45`, and `sum_of_digits('abc123')` should return `6`.","All tests must pass."
Write a function that takes a string as input and returns a list of all the substrings of that string. The function should be able to handle strings with any length and should not restrict the length or content of the substrings.,All tests must pass.
"Write a function that takes a sorted array of integers as input and returns the index of the median element. If the array size is even, return the average of the two middle elements.","All tests must pass. The function must handle sorted integer arrays. Must return the index of the median element for odd-length arrays. For even-length arrays, must return the average of the two middle elements. Input array is guaranteed to be sorted in ascending order."
"Design a function to find the optimal number of parentheses pairs in a given string, such that the number of balanced parentheses pairs is maximized. Write a function called `max_balanced_parentheses_pairs` that takes a string as input and returns the maximum number of balanced parentheses pairs that can be formed from the characters in the string.",All tests must pass. Must handle strings containing parentheses. Function must return the maximum number of balanced parentheses pairs. A balanced parentheses pair must be properly nested. Must handle different input string lengths and complexities. Must work with strings containing additional characters.
Find the maximum sum of a non-overlapping subarray with a given length `k` in an array of numbers. Write a function `maxSumSubarray` that takes an array `arr` and a length `k` and returns the maximum sum of a non-overlapping subarray of length `k`.,All tests must pass. Function must take an array and integer k as input. Must return the maximum sum of a non-overlapping subarray of length k. Time complexity should be O(n). Must handle arrays with different lengths and values. Must work with positive and negative numbers.
"Solve the Knapsack Problem by writing a function that takes a list of items with their weights and values, and a knapsack capacity, to return the maximum value that can be achieved without exceeding the weight capacity.",All tests must pass. Function must take a list of items (with weights and values) and knapsack capacity as inputs. Must return the maximum achievable value without exceeding weight limit. Must handle multiple items with different weights and values. Must optimize item selection to maximize total value.
Create a function `sum_unique_elements` that takes an array of integers and returns the sum of all unique elements. The function should handle duplicate numbers and have a time complexity of O(n).,All tests must pass. Function must take an array of integers as input. Must return the sum of unique elements only. Must handle arrays with duplicates. Must have O(n) time complexity. Must work with positive and negative numbers. Must handle empty arrays.
"Design a method to find a target integer in an M x N matrix. The method should return True if the target exists in the matrix, False otherwise.","All tests must pass. Must handle matrices with dimensions between 1x1 and 10^5 x 10^5. Must work with matrices containing positive, negative, and zero integers. Target range is between -10^6 and 10^6. Must efficiently search the matrix. Must return correct boolean result for existing and non-existing targets."
Create a function called `rotate_and_reverse` that takes two arguments: `string` and `rotations`. The function should reverse the `string` after rotating it `rotations` times.,"All tests must pass. The function must handle different string lengths and rotation values. If the input string is empty or has only one character, return an empty string. The function must perform the specified number of rotations before reversing the string."
Write a function that finds the length of the longest common subsequence between two input strings. A subsequence is a sequence derived from another sequence by deleting some or no elements without changing the order of the remaining elements.,"All tests must pass. The function must calculate the length of the longest common subsequence between two input strings. The implementation should efficiently handle different string lengths. Optimize the solution to achieve space complexity of O(min(m, n)) where m and n are the lengths of the input strings."
Create a function that removes duplicate words from a given string. The function should return a new string where each word appears only once.,"All tests must pass. The function must handle input strings containing only alphanumeric characters. The function must remove duplicate words while maintaining the original order of first occurrence. The implementation must split the string, identify unique words, and reconstruct the string with only unique words."
"Write a function that takes an input array of non-negative integers and returns a new array where each element is calculated based on specific rules: 0 remains 0, non-zero elements are transformed to their square plus 1.",All tests must pass. The function must handle input arrays with 1 to 10^5 elements. Each input array element must be between 0 and 10^9. The function must convert each non-zero element to its square plus 1 while keeping zero elements as zero.
"Write a Python function that takes a string of parentheses and checks if the parentheses are balanced. The function should return True if balanced, False otherwise.","All tests must pass. The function must support nested parentheses of any depth. It must correctly identify balanced and unbalanced parenthesis sequences. The function must handle empty strings, single characters, and complex nested parentheses combinations."
Write a function that takes a string as input and returns the length of the longest substring where no character is repeated.,"All tests must pass. The function must handle input strings of any length. It must efficiently find the longest substring without repeating characters. The implementation must achieve O(n) time complexity, where n is the length of the input string."
Write a function called `find_common` that takes two lists as input and returns a list of elements common to both input lists.,"All tests must pass. The function must handle lists of any length. The function must not modify the original input lists. If no common elements exist, an empty list must be returned. The function must preserve the order of common elements as they appear in the first list."
Write a function that finds two indices in an array that add up to a target sum,"All tests must pass. The function must return two zero-based indices of array elements that sum to the target. If no such pair exists, return None. The input array will always have at least two elements."
Write a function that returns only odd numbers from an input array,"All tests must pass. The function must filter the input array to return only odd numbers. If no odd numbers exist, return an empty array. The function must have O(n) time complexity."
Write a function that calculates the sum of squares of numbers in an array,All tests must pass. The function must calculate the sum of squared elements. Input array will contain only integers. Array length will be between 1 and 100. Each integer will be between 1 and 100.
Write a function that returns the frequency of characters in a string,All tests must pass. The function must return an array with the frequency of each character. Frequency count must be case-sensitive. Function should be efficient with minimal iterations.
Write a function to reverse vowels in a substring of a string,All tests must pass. The function must reverse vowels in a specified substring in-place. Input string contains lowercase and uppercase English letters. Indices must be valid. Output string must be same size as input.
Write a function to reverse a substring of a given string,All tests must pass. The function must take a string and an index as inputs. Must return a new string with characters from the given index to the end reversed. Must handle all valid inputs efficiently without mutating the original string.
"Write a function that accepts a list of numbers and returns the sum of all even numbers in the list, and the count of odd numbers in the list",All tests must pass. Function must take a list of numbers as input. Must return two values: sum of even numbers and count of odd numbers. Must handle lists of positive and negative integers.
"Write a function that performs recursive binary tree traversal in pre-order, in-order, and post-order, returning a list of node values for each traversal style","All tests must pass. Implement three distinct traversal methods: pre-order, in-order, post-order. Must return a list of node values for each traversal type. Handle binary trees with various structures and depths."
"Create a function that finds the number of distinct substrings in a given string, with O(n) time complexity",All tests must pass. Must handle empty and non-empty input strings. Return the total count of unique substrings. Maintain O(n) time complexity. Manage strings of varying lengths and character compositions.
Write a function to find the length of the longest increasing subsequence in a list of numbers,All tests must pass. Must handle lists of integers. Find the longest increasing subsequence. Return the length of the subsequence. Support lists with positive and negative numbers.
Implement a function to validate passwords based on specific complexity requirements,"All tests must pass. Validate passwords based on: minimum 8 characters, at least one special character, one number, one uppercase letter, one lowercase letter. Return boolean result for password validity."
"Create a function to check if a given string is a palindrome, ignoring spaces, punctuation, and capitalization","All tests must pass. Handle strings with mixed case, spaces, and punctuation. Return boolean indicating palindrome status. Support various string lengths and character compositions."
Write a function to reverse a specific substring within a given string without using built-in reverse methods,All tests must pass. Reverse specified substring while maintaining its original position. Handle strings of varying lengths. Ensure substring exists in the original string.
"Create a function to determine if a given number is prime, handling various positive integer inputs",All tests must pass. Correctly identify prime and non-prime numbers. Handle edge cases like 1 and 2. Support a wide range of positive integer inputs. Provide efficient primality testing.
Write a function that takes an array of integers as input and returns the length of the longest increasing subsequence within the array,All tests must pass. The function must handle arrays of integers. The function must return the length of the longest increasing subsequence. Must correctly identify subsequences in the input array.
Write a function that returns the length of the longest palindrome subsequence in a given string. The function signature is def longest_palindrome_subsequence(s: str) -> int,"All tests must pass. The function must take a string as input. Must return an integer representing the length of the longest palindrome subsequence. Must handle empty strings, single characters, and strings with multiple possible palindrome subsequences."
"Create a function that finds the closest pair of numbers in an array, returning the pair with the smallest difference and the smallest numbers in case of a tie",All tests must pass. The function must return an object/structure with the two numbers and their difference. Must handle cases with multiple pairs having the same smallest difference. Must work with arrays of varying sizes and with positive and negative numbers.
Write a function that takes a hyphen-separated string and returns a new string with hyphens replaced by spaces,All tests must pass. The function must create a new string. Must replace all hyphens with spaces. Must handle strings with multiple hyphens. Must not modify the original input string.
"Implement a function that performs prime factorization on a given number, returning a tuple of prime factors",All tests must pass. The function must handle positive integers. Must return a tuple of prime factors. The factors must multiply to equal the original number. Must handle edge cases like 1 and prime numbers.
"Write a method to add two matrices by adding corresponding elements, with error checking for matrix size compatibility",All tests must pass. Matrices must have identical dimensions. Must add corresponding elements correctly. Must throw an error or handle cases where matrices have different sizes. Must work with matrices of varying dimensions.
"Implement a function that calculates the number of ways to climb a staircase given a list of stair lengths, where you can climb 1 or 2 steps at a time",All tests must pass. The function must handle lists of 1-100 length. Each stair length must be between 1 and 20. Must return the total number of possible ways to climb the stairs. Must handle edge cases like single or zero-length staircases.
"Write a function called `first_non_repeating_character` that takes in a string as an input, and returns the first non-repeating character in the string. If there are no non-repeating characters, return None. You can assume that the input string will contain only lowercase letters.","All tests must pass. The function must return the first character that appears only once in the string. If no such character exists, return None. The input string will only contain lowercase letters."
"Given two lists A and B of points in the Cartesian plane, implement an algorithm that finds the two closest pairs of points in A and B. The distance between two points is the Euclidean distance: sqrt((x1 - x2)^2 + (y1 - y2)^2).","All tests must pass. The function must calculate Euclidean distance between two points. The input will be two lists of points represented as (x, y) coordinates. The function must return the two closest pairs of points, one from list A and one from list B. The algorithm must handle various input sizes efficiently."
Write a function that takes a string as input and returns a list of the shortest possible palindromic substrings in the string. A palindromic substring is a sequence of characters that reads the same forwards and backwards.,"All tests must pass. The function must return a list of all palindromic substrings, including single characters. The input will be a string containing only lowercase letters. The output must include palindromes of all lengths, from single characters to the entire string, in any order."
"Create a function that takes an array of numbers and returns an array where each element is the product of the numbers to the left of the corresponding element in the original array, excluding the current element itself.","All tests must pass. The function must handle input arrays of various lengths. The input array will contain valid integers or floating-point numbers. The output array must have the same length as the input array, with each element representing the product of numbers to the left of its original position."
"Create a function that takes two arrays of equal length, `A` and `B`, where each element represents a digit. Return the result of multiplying the two numbers together as an array of digits.","All tests must pass. The input arrays `A` and `B` will have a length of at least 1. Each array represents a number where each element is a digit. The function must return the multiplication result as an array of digits, representing the complete number."
Implement a function that finds the shortest path in a 2D grid maze from top-left to bottom-right. The grid is NxN where 0 represents open paths and 1 represents walls. Return the length of the shortest path or -1 if no path exists.,"All tests must pass. The function must return the shortest path length from (0,0) to (N-1, N-1). Only cells with value 0 can be traversed. The function must not modify the input grid. The solution must handle mazes of any size NxN. If no path exists, return -1."
"Create a function that takes a string input and returns the number of non-vowel characters. Vowels are 'a', 'e', 'i', 'o', 'u' (case-insensitive).",All tests must pass. The function must count characters that are not vowels. It must be case-insensitive. The function should work with strings containing letters and spaces. The input will be a reasonable length string.
"Write a function that finds the pair of elements in an array whose sum is closest to a target value. If multiple pairs have equal closeness, return the first occurrence.","All tests must pass. The function must take an array and a target value as input. It must return the pair of elements closest to the target sum. If multiple pairs have the same closeness, the first occurrence must be returned. The function should handle arrays of various sizes."
Create a function that takes a list of integers and returns a new list containing only the unique even numbers in their original order of appearance.,All tests must pass. The function must return a list of unique even numbers. The order of appearance must be preserved from the original list. The list will always contain at least one even number.
Write a program to calculate the sum of all even numbers in an array of integers.,All tests must pass. The function must return the sum of all even numbers in the input array. It must handle empty arrays and null arrays by returning 0. The function should work with arrays of various sizes and containing different integer values.
Implement a function that takes an array of integers and returns the number of pairs of elements that sum up to 0.,All tests must pass. The function must count pairs that sum to zero. No element can be repeated in a pair. The input array will always contain at least two elements. The function must handle arrays of different sizes and with both positive and negative integers.
Create a function 'fibonacci_generator(n)' that generates and returns a list of the first n Fibonacci numbers.,"All tests must pass. The function must generate exactly n Fibonacci numbers starting from [0, 1]. It must have O(n) time complexity and O(1) space complexity. No built-in Fibonacci functions or libraries can be used. The function must handle input of 0 by returning an empty list."
Implement an efficient binary search algorithm that finds the index of a target element in a sorted array or returns -1 if not found.,"All tests must pass. The algorithm must have O(log n) time complexity. It must work with sorted arrays containing duplicate elements. The function must return the index of the target element if found, or -1 if not found. It must minimize the number of comparisons during the search."
"Write a function that takes a string as input and determines if it is a valid IP address in the format ""A.B.C.D"", where A, B, C, and D are single digit numeric characters between 0 and 9.","All tests must pass. Each segment must be a single numeric digit between 0 and 9. The IP address must be separated by periods. Each segment can be a single digit or a pair of digits, but no more than two digits are allowed. The maximum value for a segment is 255. The function must handle leading zeros."
Write a function that takes an integer n as input and returns the n-th Fibonacci number with a time complexity of O(log(n)).,"All tests must pass. The function must compute the nth Fibonacci number efficiently with O(log(n)) time complexity. The Fibonacci sequence follows the rule F(0) = 0, F(1) = 1, F(n) = F(n-1) + F(n-2) for n > 1."
"Create a function that, given a number n, uses a custom dynamic programming algorithm to compute the nth Fibonacci number efficiently.","All tests must pass. The algorithm must have a time complexity of O(n) or less. The function must use no more than O(n) space. The function must correctly compute Fibonacci numbers using the sequence definition: F(0) = 0, F(1) = 1, F(n) = F(n-1) + F(n-2) for n > 1."
Create a function that takes a list of words and returns a list of pairs of indices where the words at those indices are palindromes when their characters are reversed.,All tests must pass. Input must be a list of lowercase strings. Output must be a list of integer pairs where indices are different. List length must be between 1 and 10^5. Individual word length must be between 1 and 10^5. Words must contain only lowercase English letters. The function must find all pairs of words that are palindromes when reversed.
Implement a sorting algorithm to sort an array of integers in non-decreasing order.,All tests must pass. The sorting algorithm must correctly arrange all elements from lowest to highest. The algorithm must handle input arrays with multiple data types if specified. Performance must meet any predefined time or memory constraints.
Create a function that takes a linked list as input and returns the linked list with its nodes in reverse order.,All tests must pass. The function must reverse the order of nodes in-place. The input linked list must contain at least one node. Nodes must contain integer values. The function must not create a new linked list. The last node of the original list must become the first node of the reversed list.
"Find and return all non-overlapping palindromic substrings of an input string, sorted in lexicographic order.","All tests must pass. The function must return all palindromic substrings from the input string. The result must be in lexicographic order. The solution should have a time complexity of O(n^2) or better, where n is the length of the input string."
Write a program that can parse a given comma-separated string of numbers and return the sum of all the numbers within the string. You can assume that the input string will only contain integers and there won't be any unnecessary characters other than commas.,All tests must pass. The function must parse comma-separated integers. The input string will contain only integers and commas. The function should handle the summation of a list of comma-separated numbers. The function must return the total sum of all numbers in the string.
"Write a function that takes an array of integers (A) and two integers (k, s) as input and returns the maximum sum of a contiguous subarray A[i], where 1 ≤ i < len(A) and the subarray contains at least k elements and its sum is greater than or equal to s.","All tests must pass. The function must take an array of positive integers, an integer k (minimum subarray length), and an integer s (minimum subarray sum). The function must return the maximum sum of a contiguous subarray with at least k elements. The returned sum must be greater than or equal to s. The input array A is guaranteed to be non-empty."
Write a function named `remove_char_length` that takes two arguments: 1. `string` (str): The input string from which you'll remove instances of a specific character. 2. `char` (str): The character to be removed from the input string. Your function should return the length of the modified string after removing all occurrences of the specified character.,All tests must pass. The function must take a string and a character to remove. The function must remove all instances of the specified character from the input string. The function must return the length of the modified string after character removal.
"Create a function that takes a string as input and reverses it with special rules: 1. If the string contains any integers, they should be converted to strings and reversed separately. 2. If the string contains any substrings that are palindromes, they should be left unchanged. 3. If the string contains any substrings that are words (composed of only letters), they should be reversed.","All tests must pass. The function must handle input strings containing uppercase and lowercase alphabets, numbers, and spaces. Integers within the string must be reversed separately. Palindromic substrings must remain unchanged. Words composed of letters must be reversed. The function must correctly process mixed-content strings following the specified reversal rules."
"Create a function that can read a text file containing a list of words, remove any duplicate entries, and then sort the unique words alphabetically. The program should output the sorted list of words.",All tests must pass. The program must read a text file containing words. All duplicate word entries must be removed. The final list must be sorted alphabetically. The output must be a list of unique words in alphabetical order.
"Write a Python program that calculates the sum of all even-indexed elements in a given list of integers. The program should handle both positive and negative integers in the list. If the list is empty, the program should return 0.","All tests must pass. The input must be a list of integers. The function must only consider elements at even indices (0, 2, 4, etc.). The function must handle lists of any size, including empty lists. The function must correctly sum even-indexed elements for lists containing positive and negative integers."
Write a Python function that takes an input list of integers and returns the longest consecutive sequence of numbers in the list.,"All tests must pass. The input list is guaranteed to have at least one element. Input list elements can be in any order. Input list can contain duplicates. The function must return the longest consecutive sequence as a list. The consecutive sequence must be based on numeric order, not index order."
"Given a T x R matrix (a grid of T rows and R columns) filled with unique integers, and a target integer, write a function that searches the matrix and returns True if the target is present in the matrix, and False if it is not.",All tests must pass. The matrix must be sorted in ascending row-wise order. The matrix contains unique integers. The matrix must have at least one row and one column. The function must efficiently search for the target integer. The function must return True if the target is found and False if the target is not present.
Write a program that accepts a list of integers as input and returns a new list containing only the integers that are prime numbers. A prime number is a number greater than 1 that has no divisors other than 1 and itself.,All tests must pass. The function must take a list of integers as input. The function must identify and return only prime numbers. A prime number must be greater than 1. The function must handle lists of any size and content. The returned list must contain only prime numbers from the input list.
"Implement a Robot Vacuum Cleaner Algorithm for a grid-based room. Write a function `cleanRoom(grid, r, c, direction)` that takes the room layout, current row, current column, and current direction as inputs. The function should return the minimum number of steps required to clean the entire room.","All tests must pass. The function must handle a two-dimensional grid representing a room with empty cells (0) and obstacles (1). The robot starts at top-left corner (0, 0). The robot can move in four directions: right (1), down (2), left (3), and up (4). A cell can only be visited once. Function must return minimum steps to clean the room or -1 if cleaning is impossible. Input grid must be a 2D list with no more than 100 rows and 100 columns."
Write a function that takes an array of integers and returns an array containing all the missing numbers between the smallest and largest numbers in the input array. The function should assume the input array is sorted in ascending order.,All tests must pass. The function must not modify the input array. It must handle empty input arrays and arrays with only one number. The returned array must contain all numbers missing between the smallest and largest numbers in the input array.
Write a function that takes a string as input and returns the string with all characters in reverse order.,All tests must pass. The input will only contain lowercase and uppercase English alphabetic characters. The function must return a string with the characters in reverse order. The output string must preserve the original character case.
Create a function `sum_subarrays` that takes a sorted list of integers `arr` and an integer `k`. The function should return the sum of all elements in the subarrays of `arr` that have a length less than or equal to `k`.,All tests must pass. The function must handle a sorted input list of integers. It must calculate the sum of all subarrays with length less than or equal to `k`. The function should return the total sum of these subarrays.
Write a program that takes an integer n as input and generates a Fibonacci subsequence where the sum of the even-indexed numbers is equal to n.,All tests must pass. Input n must be an integer between 1 and 1000. The Fibonacci subsequence must start with 0th and 1st numbers (0 and 1). The output must be a list of integers where the sum of even-indexed numbers is exactly equal to the input n.
Write a program that takes an input string and outputs the maximum sum of consecutive characters that are also consecutive in the input string.,"All tests must pass. Input must be a lowercase alphabet string. Function must return the longest consecutive characters with maximum sum. If multiple maximum sums exist, return the longest one. If maximum sum is 0, return an empty string."
Write a function that takes an array of positive integers and determines if any three consecutive numbers in the array form an arithmetic progression.,"All tests must pass. The function must check if any three consecutive numbers in the input array form an arithmetic progression. The function should return True if such a progression is found, and False otherwise."
Write a function to determine if parentheses in a string are correctly nested.,All tests must pass. Input is a string containing only opening and closing parentheses. Function must return a boolean value indicating whether the parentheses are correctly nested. Correctly nested means each opening parenthesis has a corresponding closing parenthesis in the correct order.
Write a function `multiply` that takes an array of numbers and returns a new array where each element is the result of multiplying the corresponding elements from the original array.,All tests must pass. The function must take an input array of numbers. It must return a new array where each element is the multiplicative result of the corresponding input array elements.
Write a function that finds the maximum subarray sum of an input array of integers.,All tests must pass. The input will be an array containing at least one integer. The function must return the maximum possible sum of any contiguous subarray within the input array.
Extend the Fibonacci sequence to include negative numbers and floats,"All tests must pass. Function must accept three parameters: 'start', 'end', and 'step'. Must return Fibonacci sequence within specified range including negative numbers and floats. Function must maintain correct sequence order. Must handle inputs: validate step must not be negative, ensure start is less than or equal to end. Must support float inputs with precision."
Create a function that reads a text file containing a list of numbers and returns the sum of all pairs of numbers that have a difference of 9,"All tests must pass. Input file must be named ""numbers.txt"" in same directory. Program must read numbers from file into list. Must close file after reading. Must compare each pair of numbers and calculate difference. Must sum pairs with exactly 9 difference. Must handle potential errors: file not found, non-numeric values in file."
Write a function that checks if a given array is a valid sequence with distinct integers in strictly increasing order,"All tests must pass. Function must return boolean value. Input array must have at least one integer. Array must contain only distinct integers. Integers must be in strictly increasing order. Must return False for empty arrays, arrays with duplicate elements, or arrays not in increasing order."
Implement a function that returns all unique pairs of elements from a given list of integers,"All tests must pass. Must handle input lists with duplicate elements. Duplicate pairs are not allowed. Pair order does not matter. Pairs like [1, 2] and [2, 1] are considered the same and only one should be included. Must work with lists of varying lengths and compositions."
Write a function that takes a string and returns a list of all palindromic substrings,All tests must pass. Function must handle strings of different lengths. Must return unique palindromic substrings. Output must be in lexicographical order. Must be efficient in time and space complexity. Palindromic substrings are those reading same forwards and backwards.
Write a function that takes a sentence and returns a new sentence with words reversed in character order,All tests must pass. Function must split sentence into words. Reverse characters in each word. Preserve original spacing. Handle leading and trailing spaces. Maintain original sentence structure while reversing individual word characters.
Create a function that removes even numbers from an array and returns their sum,"All tests must pass. Function must compute sum of all even numbers in input array. Must remove even numbers from original array. If no even numbers exist, return original array unchanged. Preserve order of remaining elements."
Create a function that returns a list where each element is the product of all other elements except itself,All tests must pass. Function must compute product of all integers except the integer at corresponding index. Must be efficient with O(n) time complexity. Handle arrays of varying lengths. Preserve original array structure while computing alternate products.
Write a function that computes the length of the longest increasing subsequence in an array of integers,All tests must pass. Function must return length of longest increasing subsequence. Must handle arrays of varying lengths. Dynamic Programming approach recommended. Time complexity should ideally be O(n^2). Must work with positive and negative integers. Handle edge cases like empty arrays.
Create a function that generates a Fibonacci sequence with a twist. Write a function that generates a Fibonacci sequence that does not contain any even numbers. The function should take a non-negative integer n as input representing the length of the generated sequence.,"All tests must pass. The function should return a Fibonacci sequence without even numbers. The function must take a non-negative integer n as input. If n is less than or equal to 0, an error must be returned. The function must implement the Fibonacci sequence algorithm without using built-in methods. The sequence must exclude all even numbers while maintaining the Fibonacci sequence generation logic."
"Write a function that takes a list of integers as input and returns the index of the integer with the highest frequency in the list. In case of a tie, return the index of the first occurrence of the integer.","All tests must pass. The function must return the index of the integer that appears most frequently in the list. If multiple integers have the same highest frequency, the function must return the index of the first such integer. The input must be a list of integers."
"Create a function that takes a sorted list of unique integers as input and returns a new list containing all the even numbers from the input list, while maintaining the original order of the even numbers. The function must have a time complexity of O(n).",All tests must pass. The function must take a sorted list of unique integers as input. The output must be a list containing only even numbers. The original order of even numbers must be preserved. The function must have a time complexity of O(n).
Write a function that takes an integer n as input and returns the sum of all numbers from 1 to n in constant time.,"All tests must pass. The function must calculate the sum of numbers from 1 to n using the arithmetic series formula. The function must handle both odd and even values of n. The time complexity must be O(1), regardless of the input value. The function must return the correct sum for any valid input."
Optimize the Bubble Sort algorithm to improve its efficiency by reducing redundant iterations.,All tests must pass. The optimized algorithm must reduce unnecessary iterations by tracking the last swap index. The algorithm must maintain the core bubble sort logic of comparing and swapping adjacent elements. Performance improvements must be demonstrated through reduced iteration count.
Write a function that takes an array of integers and returns the longest subsequence with the same parity (either all even or all odd).,All tests must pass. The function must identify the longest subsequence where all elements have the same parity (all even or all odd). The subsequence must maintain the original order of elements. The function must work for arrays with at least one integer.
Create a function that reverses a string using recursion.,"All tests must pass. The function must use recursion to reverse the input string. The function must handle strings of any length, including empty strings and single-character strings. The output must be the exact reverse of the input string. No built-in string reversal methods can be used."
Write a function to determine if a list of 10 integers represents a 3x3 magic square.,All tests must pass. The program must validate a 3x3 magic square with these conditions: All 10 input integers must be used. Each row and column must contain distinct positive integers. Each row and column must sum to the same value. Integers must be sorted in ascending order within rows and columns. The program must output 'isValid: true' or 'isValid: false'.
"Write a function called `anagram_checker` that takes two words as input and returns a boolean value indicating whether the words are anagrams of each other. An anagram is a word or phrase formed by rearranging the letters of a different word or phrase, using all the original letters exactly once.",All tests must pass. The function must return a boolean value. It can handle lowercase words with no punctuation or spaces. It must correctly identify anagrams while being case-insensitive. The function should work with words of varying lengths.
Write a function that takes a single string input and returns a new string where all the lowercase characters are capitalized and all the uppercase characters are lowercased.,"All tests must pass. The function must convert lowercase characters to uppercase and uppercase characters to lowercase. It should handle mixed-case strings, preserving non-alphabetic characters. The function should return a new string with the modified case."
Write a Python function that returns the maximum sum of a contiguous subarray in a given list.,All tests must pass. The function must handle lists containing both positive and negative integers. It should return the maximum sum of any contiguous subarray within the input list.
Write a function to help navigate a mall by finding the minimum path between two stores in a mall map represented as a weighted graph.,All tests must pass. The function must return the optimal path between a start and end store. It should compute the total distance of the optimal path. The input must be a weighted graph representing store locations and connections. The output must include both the path and its total distance.
Implement a function that can split a given string into words based on a specific separator and return the number of words in the string.,"All tests must pass. The function must split the input string using the specified separator. It must return the correct number of words. The function should handle cases where the separator is a character or substring. The input string will always contain at least one word, and the separator will be present at least once."
Write a function that takes an array of integers and returns the maximum sum of a non-overlapping subarray.,"All tests must pass. The function must compute the maximum sum of a non-overlapping subarray. The input array will have between 1 and 10,000 elements. Each element will be an integer between -10,000 and 10,000. The function must handle varying array configurations."
Write a function that takes an array of integers as input and returns the sum of its elements.,"All tests must pass. The function must handle arrays containing non-empty lists of integers. It must compute the sum of all elements, including handling negative numbers and zeroes. The input array will have a maximum size of 50 integers. The solution should aim for optimal time complexity."
"Write a function that takes a sorted list of integers and returns a new list with duplicate values removed, without using built-in functions like set() or dict()",All tests must pass. The function must preserve the original order of elements. It must work with sorted input lists. The output list must contain only unique elements. No built-in methods for removing duplicates can be used.
